bcell_id	h_age	new_h_age
1341809	6-8 week-old	6-8 weeks
1961150	24-day-old	24 days
1412714	1-5 years old	1-5 years
17494	7-9 wks	7-9 weeks
17498	7-9 wks	7-9 weeks
1339898	Adults	adult
19094	12-24 month old	12-24 months
19169	12-24 month old	12-24 months
1338271	1-84 years old	1-84 years
1312106	4 to 7 week-old	4-7 weeks
20420	8 wekks-old	8 weeks
1341362	4-8-week-old	4-8 weeks
1466041	Adult	adult
1355448	6-8 weeks-old	6-8 weeks
1352137	2-month-old	2 months
17395	7-9 wks	7-9 weeks
1412863	1-5 years old	1-5 years
1267640	4-10 weeks old	4-10 weeks
1376983	6 weeks old	6 weeks
1326527	5-6 weeks-old	5-6 weeks
1278270	2-4 years-old	2-4 years
1466118	Adult	adult
1475044	3 weeks old	3 weeks
1474332	6-7 weeks-old	6-7 weeks
1474333	6-7 weeks-old	6-7 weeks
1474337	6-7 weeks-old	6-7 weeks
1474353	6-7 weeks-old	6-7 weeks
1313324	6-8 weeks-old	6-8 weeks
1355421	6-8 weeks old	6-8 weeks
1347090	One week	1 week
1343188	6-7-week-old	6-7 weeks
1412839	1-5 years old	1-5 years
1379536	Adults	adult
1408930	6 month	6 months
1408948	6 month	6 months
1278276	6-8 weeks-old	6-8 weeks
1349683	6-8 weeks old	6-8 weeks
1474354	6-7 weeks-old	6-7 weeks
1162747	6-8 weeks-old	6-8 weeks
1339049	Adults	adult
1339075	Adults	adult
1376970	6 weeks old	6 weeks
1349178	8-12 weeks old	8-12 weeks
1337997	6-8 weeks-old	6-8 weeks
1337858	6-8 weeks-old	6-8 weeks
1475150	3 weeks old	3 weeks
1349066	6-8 weeks old	6-8 weeks
16275	4-6 weeks-old	4-6 weeks
1339675	Adults	adult
1338277	1-84 years old	1-84 years
1338290	1-84 years old	1-84 years
1338301	1-84 years old	1-84 years
1275785	6-7 wks	6-7 weeks
1341992	Adults	adult
1378538	7 weeks old	7 weeks
1343138	6-7-week-old	6-7 weeks
1338334	1-84 years old	1-84 years
1244213	4-6 weeks-old	4-6 weeks
1349631	3 month old	3 months
1066607	6-8 weeks-old	6-8 weeks
4132	8-10 wo	8-10 weeks
4170	8-10 wo	8-10 weeks
4225	8-10 wo	8-10 weeks
1279849	4 to 6 weeks	4-6 weeks
1335418	5-7 months old	5-7 months
1343149	6-7-week-old	6-7 weeks
1475055	3 weeks old	3 weeks
1475058	3 weeks old	3 weeks
1475062	3 weeks old	3 weeks
1347208	8-16 week	8-16 weeks
1356751	6-10 weeks-old	6-10 weeks
1335516	Adults	adult
1383703	4-week old	4 weeks
1338342	1-84 years old	1-84 years
1475068	3 weeks old	3 weeks
1301649	4 to 7 week-old	4-7 weeks
1312177	4 to 7 week-old	4-7 weeks
1312379	4 to 7 week-old	4-7 weeks
15421	8-12 weeks-old	8-12 weeks
1412782	1-5 years old	1-5 years
1412796	1-5 years old	1-5 years
1412857	1-5 years old	1-5 years
1383685	4-week old	4 weeks
1475198	3 weeks old	3 weeks
1475252	3 weeks old	3 weeks
17485	7-9 wks	7-9 weeks
17490	7-9 wks	7-9 weeks
1349228	6-7 weeks-old	6-7 weeks
1339903	Adults	adult
1349132	26-72 years-old	26-72 years
1474327	6-7 weeks-old	6-7 weeks
1351266	8 weeks old	8 weeks
1332561	Adults	adult
1342420	Adults	adult
22792142	6 to 8 weeks	6-8 weeks
1412805	1-5 years old	1-5 years
1312140	4 to 7 week-old	4-7 weeks
22792141	6 to 8 weeks	6-8 weeks
1864596	56.3 +/- 12.8 years	56.3 ± 12.8 years
1335821	18 to 50 years	18-50 years
1347091	One week	1 week
19183	12-24 month old	12-24 months
5516	6 - 8 mo	6-8 months
19344	12-24 month old	12-24 months
19041	12-24 month old	12-24 months
19103	12-24 month old	12-24 months
19128	12-24 month old	12-24 months
1352859	6-8 weeks old	6-8 weeks
1376960	6 weeks old	6 weeks
1412761	1-5 years old	1-5 years
1335880	18 to 50 years	18-50 years
1475139	3 weeks old	3 weeks
1349200	8-12 weeks old	8-12 weeks
1382315	6-8 weeks old	6-8 weeks
1349100	6-8 weeks old	6-8 weeks
1377996	6-10 weeks-old	6-10 weeks
2394559	10 to 65 years	10-65 years
1475219	3 weeks old	3 weeks
1475222	3 weeks old	3 weeks
1349157	26-72 years-old	26-72 years
1466074	Adult	adult
19268	12-24 month old	12-24 months
19348	12-24 month old	12-24 months
19385	12-24 month old	12-24 months
1343369	6-7-week-old	6-7 weeks
1479984	Children	child
6393	6 months old	6 months
17471	7-9 wks	7-9 weeks
1339073	Adults	adult
1312107	4 to 7 week-old	4-7 weeks
22792143	6 to 8 weeks	6-8 weeks
1475240	3 weeks old	3 weeks
1349833	6-8 weeks old	6-8 weeks
1338316	1-84 years old	1-84 years
1475108	3 weeks old	3 weeks
1475111	3 weeks old	3 weeks
1412831	1-5 years old	1-5 years
1372141	8 weeks old	8 weeks
1372340	8 weeks old	8 weeks
1372335	4 to 70 years old	4-70 years
1372374	8 weeks old	8 weeks
1505522	1 to 6 years	1-6 years
1505896	6-8 weeks old	6-8 weeks
1500101	6 weeks old	6 weeks
2394503	10 to 65 years	10-65 years
1728011	11 to 47 years	11-47 years
1505518	1 to 6 years	1-6 years
1505516	1 to 6 years	1-6 years
2394502	10 to 65 years	10-65 years
1500040	4 to 45 years-old	4-45 years
1500041	4 to 45 years-old	4-45 years
1503774	5-6 weeks-old	5-6 weeks
1733014	11 to 47 years	11-47 years
1733018	11 to 47 years	11-47 years
1505521	1 to 6 years	1-6 years
1501308	4-60 years old	4-60 years
1501309	4-60 years old	4-60 years
1505525	1 to 6 years	1-6 years
1505529	1 to 6 years	1-6 years
1500103	6 weeks old	6 weeks
1500042	4 to 45 years-old	4-45 years
1500043	4 to 45 years-old	4-45 years
1503943	6 to 24 months	6-24 months
1733022	11 to 47 years	11-47 years
1733026	11 to 47 years	11-47 years
1505290	Children	child
1501307	4-60 years old	4-60 years
1733034	11 to 47 years	11-47 years
1733038	11 to 47 years	11-47 years
1505291	Children	child
1505292	Children	child
1505293	Children	child
1505294	Children	child
1505295	Children	child
1506385	8 to 9 weeks	8-9 weeks
1505520	1 to 6 years	1-6 years
1505523	1 to 6 years	1-6 years
1505532	1 to 6 years	1-6 years
1505533	1 to 6 years	1-6 years
1505534	1 to 6 years	1-6 years
1506112	Adult	adult
1503767	5-6 weeks-old	5-6 weeks
1500039	4 to 45 years-old	4-45 years
1505514	1 to 6 years	1-6 years
1733042	11 to 47 years	11-47 years
1506126	Adult	adult
1506127	Adult	adult
1506128	Adult	adult
1506129	Adult	adult
1506130	Adult	adult
1506131	Adult	adult
1506132	Adult	adult
1506134	Adult	adult
1505096	Children	child
1506135	Adult	adult
1506136	Adult	adult
1506137	Adult	adult
1506138	Adult	adult
1506139	Adult	adult
1506140	Adult	adult
1506096	Adult	adult
1506141	Adult	adult
1506143	Adult	adult
1509254	19 to 44 years	19-44 years
1509256	4 month old	4 months
1733046	11 to 47 years	11-47 years
1733050	11 to 47 years	11-47 years
1505296	Children	child
1505297	Children	child
1505298	Children	child
1505299	Children	child
1505300	Children	child
1506133	Adult	adult
1506144	Adult	adult
1506145	Adult	adult
1506146	Adult	adult
1506147	Adult	adult
1506148	Adult	adult
1506149	Adult	adult
1506154	Adult	adult
1506155	Adult	adult
1506156	Adult	adult
1501317	5 weeks old	5 weeks
1506150	Adult	adult
1506157	Adult	adult
1506108	Adult	adult
1506109	Adult	adult
1506110	Adult	adult
1506078	Adult	adult
1506113	Adult	adult
1736017	22 wk	22 weeks
1506151	Adult	adult
1506152	Adult	adult
1506153	Adult	adult
1506160	Adult	adult
1506161	Adult	adult
1506114	Adult	adult
1506115	Adult	adult
1506116	Adult	adult
1506117	Adult	adult
1506118	Adult	adult
1506119	Adult	adult
1736018	22 wk	22 weeks
1736019	22 wk	22 weeks
1505513	1 to 6 years	1-6 years
1506120	Adult	adult
1506121	Adult	adult
1506122	Adult	adult
1506123	Adult	adult
1506124	Adult	adult
1501304	4-60 years old	4-60 years
1501305	4-60 years old	4-60 years
1501306	4-60 years old	4-60 years
1736020	22 wk	22 weeks
1736022	22 wk	22 weeks
1736023	22 wk	22 weeks
1506158	Adult	adult
1506159	Adult	adult
1506071	8 to 9 weeks	8-9 weeks
1506097	Adult	adult
1506098	Adult	adult
1499911	6 weeks old	6 weeks
1499914	6 weeks old	6 weeks
1503264	2 months old	2 months
1503280	2 months old	2 months
1503283	2 months old	2 months
1349070	6-8 weeks old	6-8 weeks
1506099	Adult	adult
1506100	Adult	adult
1506101	Adult	adult
1506102	Adult	adult
1506103	Adult	adult
1499913	6 weeks old	6 weeks
1349104	6-8 weeks old	6-8 weeks
1506104	Adult	adult
1506105	Adult	adult
1506106	Adult	adult
1506107	Adult	adult
1506111	Adult	adult
1503762	5-6 weeks-old	5-6 weeks
1503763	5-6 weeks-old	5-6 weeks
1503764	5-6 weeks-old	5-6 weeks
1503765	5-6 weeks-old	5-6 weeks
1499598	17-42 years-old	17-42 years
1499599	17-42 years-old	17-42 years
1499600	17-42 years-old	17-42 years
1499601	17-42 years-old	17-42 years
1499602	17-42 years-old	17-42 years
1500044	4 to 45 years-old	4-45 years
1505517	1 to 6 years	1-6 years
1505524	1 to 6 years	1-6 years
1505531	1 to 6 years	1-6 years
1505897	6-8 weeks old	6-8 weeks
1505898	6-8 weeks old	6-8 weeks
1505902	6-8 weeks old	6-8 weeks
1503766	5-6 weeks-old	5-6 weeks
1503768	5-6 weeks-old	5-6 weeks
1503769	5-6 weeks-old	5-6 weeks
1503770	5-6 weeks-old	5-6 weeks
1503771	5-6 weeks-old	5-6 weeks
1499603	17-42 years-old	17-42 years
1499604	17-42 years-old	17-42 years
1505515	1 to 6 years	1-6 years
1505519	1 to 6 years	1-6 years
1505527	1 to 6 years	1-6 years
1478012	Adult	adult
1478493	6 weeks old	6 weeks
1478494	6 weeks old	6 weeks
1478495	6 weeks old	6 weeks
1478496	6 weeks old	6 weeks
1383152	Adults	adult
1332570	2-65 years-old	2-65 years
1475152	3 weeks old	3 weeks
1478466	6 weeks old	6 weeks
1476598	8 weeks old	8 weeks
1477822	6 week-old	6 weeks
1478481	6 weeks old	6 weeks
1478482	6 weeks old	6 weeks
1478665	6 weeks old	6 weeks
1478666	6 weeks old	6 weeks
1338299	1-84 years old	1-84 years
1475114	3 weeks old	3 weeks
1475123	3 weeks old	3 weeks
1475171	3 weeks old	3 weeks
1475176	3 weeks old	3 weeks
1478470	6 weeks old	6 weeks
1476599	8 weeks old	8 weeks
1477813	6 week-old	6 weeks
1478620	6 weeks old	6 weeks
1478619	6 weeks old	6 weeks
1478621	6 weeks old	6 weeks
1478622	6 weeks old	6 weeks
1343155	6-7-week-old	6-7 weeks
1343184	6-7-week-old	6-7 weeks
19193	12-24 month old	12-24 months
19380	12-24 month old	12-24 months
1475233	3 weeks old	3 weeks
1475072	3 weeks old	3 weeks
1003474	3-4 months-old	3-4 months
1660	Adult	adult
1478438	Adult	adult
1478612	6 weeks old	6 weeks
1478613	6 weeks old	6 weeks
1478614	6 weeks old	6 weeks
1478014	Adult	adult
1478489	6 weeks old	6 weeks
1478471	6 weeks old	6 weeks
1312238	4 to 7 week-old	4-7 weeks
1478490	6 weeks old	6 weeks
1478491	6 weeks old	6 weeks
1478519	6 weeks old	6 weeks
1478520	6 weeks old	6 weeks
1478521	6 weeks old	6 weeks
1478472	6 weeks old	6 weeks
1478473	6 weeks old	6 weeks
1338304	1-84 years old	1-84 years
1378084	6-10 weeks-old	6-10 weeks
1378085	6-10 weeks-old	6-10 weeks
1335949	8-week old	8 weeks
1478510	6 weeks old	6 weeks
1478623	6 weeks old	6 weeks
1478501	6 weeks old	6 weeks
1478502	6 weeks old	6 weeks
1349801	6-8 weeks old	6-8 weeks
1267040	6 week-old	6 weeks
1479469	45 day	45 days
1479470	45 day	45 days
1478511	6 weeks old	6 weeks
1478512	6 weeks old	6 weeks
1478513	6 weeks old	6 weeks
1478514	6 weeks old	6 weeks
1478515	6 weeks old	6 weeks
1478516	6 weeks old	6 weeks
1478517	6 weeks old	6 weeks
1478518	6 weeks old	6 weeks
1478615	6 weeks old	6 weeks
1478624	6 weeks old	6 weeks
1478626	6 weeks old	6 weeks
1478625	6 weeks old	6 weeks
1478627	6 weeks old	6 weeks
1478668	6 weeks old	6 weeks
1478667	6 weeks old	6 weeks
1478669	6 weeks old	6 weeks
1478670	6 weeks old	6 weeks
1478671	6 weeks old	6 weeks
1478672	6 weeks old	6 weeks
17377	7-9 wks	7-9 weeks
1376911	6 weeks old	6 weeks
1408964	6 month	6 months
1476617	8 weeks old	8 weeks
1475181	3 weeks old	3 weeks
17346	7-9 wks	7-9 weeks
1335795	8-week old	8 weeks
3497049	45 to 55 years	45-55 years
1478616	6 weeks old	6 weeks
1478617	6 weeks old	6 weeks
1478656	6 weeks old	6 weeks
1478655	6 weeks old	6 weeks
1478657	6 weeks old	6 weeks
1377998	6-10 weeks-old	6-10 weeks
19178	12-24 month old	12-24 months
1476604	8 weeks old	8 weeks
1478646	6 weeks old	6 weeks
1478647	6 weeks old	6 weeks
1478648	6 weeks old	6 weeks
1478650	6 weeks old	6 weeks
1478649	6 weeks old	6 weeks
1478483	6 weeks old	6 weeks
1478484	6 weeks old	6 weeks
1478485	6 weeks old	6 weeks
1478486	6 weeks old	6 weeks
1478487	6 weeks old	6 weeks
1478488	6 weeks old	6 weeks
1478695	6 weeks old	6 weeks
1478628	6 weeks old	6 weeks
1478629	6 weeks old	6 weeks
1478630	6 weeks old	6 weeks
1478409	Adult	adult
1341853	Adults	adult
1340297	12 to 55 years	12-55 years
4227	8-10 wo	8-10 weeks
1032264	8-9-weeks-old	8-9 weeks
1335958	8-week old	8 weeks
1335962	8-week old	8 weeks
1479431	45 day	45 days
1479432	45 day	45 days
1478972	Adult	adult
1478974	Adult	adult
1478658	6 weeks old	6 weeks
1478497	6 weeks old	6 weeks
1478498	6 weeks old	6 weeks
1478499	6 weeks old	6 weeks
1478500	6 weeks old	6 weeks
1343370	6-7-week-old	6-7 weeks
6279000	18 to 66 years	18-66 years
1477707	6-8 weeks old	6-8 weeks
1477708	6-8 weeks old	6-8 weeks
1378054	6-10 weeks-old	6-10 weeks
1349844	6-8 weeks old	6-8 weeks
1341821	6-8 week-old	6-8 weeks
1478971	Adult	adult
1478651	6 weeks old	6 weeks
1478652	6 weeks old	6 weeks
1478653	6 weeks old	6 weeks
1478654	6 weeks old	6 weeks
1478659	6 weeks old	6 weeks
1478660	6 weeks old	6 weeks
1478662	6 weeks old	6 weeks
1478661	6 weeks old	6 weeks
1478663	6 weeks old	6 weeks
1478125	8 week	8 weeks
1469542	Adult	adult
1476603	8 weeks old	8 weeks
1377985	6-10 weeks-old	6-10 weeks
1478120	8 week	8 weeks
1477831	6 week-old	6 weeks
1478632	6 weeks old	6 weeks
1478631	6 weeks old	6 weeks
1478633	6 weeks old	6 weeks
1478634	6 weeks old	6 weeks
1478635	6 weeks old	6 weeks
1478636	6 weeks old	6 weeks
8700	8 weeks-old	8 weeks
1477685	6-8 weeks old	6-8 weeks
1313320	6-8 weeks-old	6-8 weeks
1296887	4 to 7 week-old	4-7 weeks
1479433	45 day	45 days
1479436	45 day	45 days
1478693	6 weeks old	6 weeks
1478694	6 weeks old	6 weeks
1478474	6 weeks old	6 weeks
1478475	6 weeks old	6 weeks
1478476	6 weeks old	6 weeks
1478477	6 weeks old	6 weeks
1478478	6 weeks old	6 weeks
1478479	6 weeks old	6 weeks
1478480	6 weeks old	6 weeks
1478610	6 weeks old	6 weeks
1478664	6 weeks old	6 weeks
1475137	3 weeks old	3 weeks
1478469	6 weeks old	6 weeks
1372308	4 to 70 years old	4-70 years
1372331	4 to 70 years old	4-70 years
1475157	3 weeks old	3 weeks
1342054	8 to 12-week-old	8-12 weeks
4177	8-10 wo	8-10 weeks
1335948	8-week old	8 weeks
1478453	18-20 years-old	18-20 years
1479425	8 weeks old	8 weeks
1478447	18-20 years-old	18-20 years
1478449	18-20 years-old	18-20 years
1477071	Adult	adult
1369584	8-10 weeks old	8-10 weeks
1467532	12 weeks-old	12 weeks
1279337	4 to 6 weeks	4-6 weeks
1478124	8 week	8 weeks
1478402	Adult	adult
1478403	Adult	adult
1478492	6 weeks old	6 weeks
1478450	18-20 years-old	18-20 years
1478451	18-20 years-old	18-20 years
1478452	18-20 years-old	18-20 years
1477069	Adult	adult
1477712	6-8 weeks old	6-8 weeks
1347080	One week	1 week
1349710	6-8 weeks old	6-8 weeks
1489619	8 weeks-old	8 weeks
1489626	8 weeks-old	8 weeks
1488996	6 - 9 months	6-9 months
1488997	6 - 9 months	6-9 months
1488998	6 - 9 months	6-9 months
1489001	6 - 9 months	6-9 months
1488999	6 - 9 months	6-9 months
1489040	6 - 9 months	6-9 months
1489041	6 - 9 months	6-9 months
2394560	10 to 65 years	10-65 years
1497555	Children	child
1488966	6 - 9 months	6-9 months
1489629	8 weeks-old	8 weeks
1491536	8 weeks-old	8 weeks
1488967	6 - 9 months	6-9 months
1488968	6 - 9 months	6-9 months
1488969	6 - 9 months	6-9 months
1493321	4 - 6 weeks	4-6 weeks
1486626	Adults	adult
1491542	8 weeks-old	8 weeks
22257229	6 weeks old	6 weeks
1369535	8-10 weeks old	8-10 weeks
1488973	6 - 9 months	6-9 months
1488974	6 - 9 months	6-9 months
1488979	6 - 9 months	6-9 months
1488980	6 - 9 months	6-9 months
1488986	6 - 9 months	6-9 months
1488987	6 - 9 months	6-9 months
1488992	6 - 9 months	6-9 months
1489023	6 - 9 months	6-9 months
1489024	6 - 9 months	6-9 months
1489025	6 - 9 months	6-9 months
1489000	6 - 9 months	6-9 months
1489002	6 - 9 months	6-9 months
1489042	6 - 9 months	6-9 months
1489043	6 - 9 months	6-9 months
1489044	6 - 9 months	6-9 months
1489045	6 - 9 months	6-9 months
1489046	6 - 9 months	6-9 months
1489047	6 - 9 months	6-9 months
1489048	6 - 9 months	6-9 months
1488975	6 - 9 months	6-9 months
1488988	6 - 9 months	6-9 months
1493645	8 week-old	8 weeks
1489003	6 - 9 months	6-9 months
1489019	6 - 9 months	6-9 months
1489049	6 - 9 months	6-9 months
1489757	2 - 3 months	2-3 months
1488970	6 - 9 months	6-9 months
1488971	6 - 9 months	6-9 months
1493673	10 weeks-old	10 weeks
1491191	3.5 month	3.5 months
1336607	16 to 60 years	16-60 years
1349177	8-12 weeks old	8-12 weeks
1489594	2 month	2 months
1489026	6 - 9 months	6-9 months
1489027	6 - 9 months	6-9 months
1489028	6 - 9 months	6-9 months
1491537	8 weeks-old	8 weeks
1489050	6 - 9 months	6-9 months
1489051	6 - 9 months	6-9 months
1487814	8 to 10 weeks	8-10 weeks
1487824	8 to 10 weeks	8-10 weeks
1487825	8 to 10 weeks	8-10 weeks
1487826	8 to 10 weeks	8-10 weeks
1488976	6 - 9 months	6-9 months
1488989	6 - 9 months	6-9 months
1488990	6 - 9 months	6-9 months
1488991	6 - 9 months	6-9 months
1489020	6 - 9 months	6-9 months
1489021	6 - 9 months	6-9 months
1489022	6 - 9 months	6-9 months
1489032	6 - 9 months	6-9 months
1489052	6 - 9 months	6-9 months
1489053	6 - 9 months	6-9 months
1489054	6 - 9 months	6-9 months
1489055	6 - 9 months	6-9 months
1489758	2 - 3 months	2-3 months
1489763	2 - 3 months	2-3 months
1491198	3.5 month	3.5 months
1491197	3.5 month	3.5 months
1491199	3.5 month	3.5 months
1489031	6 - 9 months	6-9 months
1489033	6 - 9 months	6-9 months
1491538	8 weeks-old	8 weeks
1489756	2 - 3 months	2-3 months
1488948	2 - 3 months	2-3 months
1488972	6 - 9 months	6-9 months
1488981	6 - 9 months	6-9 months
1488982	6 - 9 months	6-9 months
1488983	6 - 9 months	6-9 months
1489034	6 - 9 months	6-9 months
1489035	6 - 9 months	6-9 months
1489036	6 - 9 months	6-9 months
1488935	2 - 3 months	2-3 months
1488934	2 - 3 months	2-3 months
1489585	2 month	2 months
1488951	2 - 3 months	2-3 months
1488993	6 - 9 months	6-9 months
1488984	6 - 9 months	6-9 months
1488985	6 - 9 months	6-9 months
1488994	6 - 9 months	6-9 months
1493644	8 week-old	8 weeks
1488961	6 - 9 months	6-9 months
1491488	8 to 10 weeks	8-10 weeks
1488995	6 - 9 months	6-9 months
1489037	6 - 9 months	6-9 months
1489038	6 - 9 months	6-9 months
1489039	6 - 9 months	6-9 months
1491540	8 weeks-old	8 weeks
1491541	8 weeks-old	8 weeks
1478611	6 weeks old	6 weeks
1481447	12 months old	12 months
1481448	12 months old	12 months
1481449	12 months old	12 months
1481317	12 months old	12 months
1480518	6-7 weeks old	6-7 weeks
1480526	6-7 weeks old	6-7 weeks
1482400	8 weeks old	8 weeks
1482398	8 weeks old	8 weeks
1482399	8 weeks old	8 weeks
1482393	8 weeks old	8 weeks
1478408	Adult	adult
1478503	6 weeks old	6 weeks
1478504	6 weeks old	6 weeks
1478505	6 weeks old	6 weeks
1478506	6 weeks old	6 weeks
1478507	6 weeks old	6 weeks
1478508	6 weeks old	6 weeks
1478509	6 weeks old	6 weeks
1481036	Adults	adult
1482704	6-8 weeks-old	6-8 weeks
1482705	6-8 weeks-old	6-8 weeks
1482706	6-8 weeks-old	6-8 weeks
1481315	12 months old	12 months
1481450	12 months old	12 months
1481388	12 months old	12 months
1482710	6-8 weeks-old	6-8 weeks
1482401	8 weeks old	8 weeks
1478638	6 weeks old	6 weeks
1478637	6 weeks old	6 weeks
1478639	6 weeks old	6 weeks
1478640	6 weeks old	6 weeks
1478641	6 weeks old	6 weeks
1478642	6 weeks old	6 weeks
1478644	6 weeks old	6 weeks
1478643	6 weeks old	6 weeks
1482858	14 weeks old	14 weeks
1482394	8 weeks old	8 weeks
1482395	8 weeks old	8 weeks
1482397	8 weeks old	8 weeks
1482859	14 weeks old	14 weeks
1484680	6-10 weeks old	6-10 weeks
1484683	6-10 weeks old	6-10 weeks
1484686	6-10 weeks old	6-10 weeks
1484692	6-10 weeks old	6-10 weeks
1484695	6-10 weeks old	6-10 weeks
1484698	6-10 weeks old	6-10 weeks
1484701	6-10 weeks old	6-10 weeks
1481318	12 months old	12 months
1481369	12 months old	12 months
1481642	12 weeks old	12 weeks
1482713	6-8 weeks-old	6-8 weeks
1481807	Adults	adult
1481808	Adults	adult
1478645	6 weeks old	6 weeks
1481370	12 months old	12 months
1482692	6-8 weeks-old	6-8 weeks
1482695	6-8 weeks-old	6-8 weeks
1482696	6-8 weeks-old	6-8 weeks
1482697	6-8 weeks-old	6-8 weeks
1478674	6 weeks old	6 weeks
1478673	6 weeks old	6 weeks
1478675	6 weeks old	6 weeks
1480537	6-7 weeks old	6-7 weeks
1480539	6-7 weeks old	6-7 weeks
1480540	6-7 weeks old	6-7 weeks
1478690	6 weeks old	6 weeks
1478691	6 weeks old	6 weeks
1478692	6 weeks old	6 weeks
22792154	6 to 8 weeks	6-8 weeks
1480531	6-7 weeks old	6-7 weeks
1482683	6-8 weeks-old	6-8 weeks
1480511	6-7 weeks old	6-7 weeks
1480536	6-7 weeks old	6-7 weeks
1481054	Adults	adult
1480596	8 weeks old	8 weeks
1480597	8 weeks old	8 weeks
1480595	8 weeks old	8 weeks
1482390	8 weeks old	8 weeks
1482391	8 weeks old	8 weeks
1481650	12 weeks old	12 weeks
1481050	Adults	adult
1482691	6-8 weeks-old	6-8 weeks
1482392	8 weeks old	8 weeks
1481812	Adults	adult
1481813	Adults	adult
1480929	12 months old	12 months
1480930	12 months old	12 months
1499623	3 to 16 years	3-16 years
1499624	3 to 16 years	3-16 years
1499625	3 to 16 years	3-16 years
1499626	3 to 16 years	3-16 years
1499627	3 to 16 years	3-16 years
1499614	3 to 16 years	3-16 years
1499615	3 to 16 years	3-16 years
1499616	3 to 16 years	3-16 years
1499617	3 to 16 years	3-16 years
1499917	6 weeks old	6 weeks
1499749	25-week-old	25 weeks
1500095	7-8 weeks-old	7-8 weeks
1493363	4 - 6 weeks	4-6 weeks
1493364	4 - 6 weeks	4-6 weeks
1493365	4 - 6 weeks	4-6 weeks
1493366	4 - 6 weeks	4-6 weeks
1493367	4 - 6 weeks	4-6 weeks
1498171	60-90 days old	60-90 days
1499613	3 to 16 years	3-16 years
1500096	7-8 weeks-old	7-8 weeks
1498184	60-90 days old	60-90 days
1498185	60-90 days old	60-90 days
1493357	4 - 6 weeks	4-6 weeks
1493354	4 - 6 weeks	4-6 weeks
1493358	4 - 6 weeks	4-6 weeks
1499605	17-42 years-old	17-42 years
1499606	17-42 years-old	17-42 years
1499619	3 to 16 years	3-16 years
1499620	3 to 16 years	3-16 years
1499621	3 to 16 years	3-16 years
1499622	3 to 16 years	3-16 years
1499423	4-6 wks	4-6 weeks
1499425	4-6 wks	4-6 weeks
1499611	3 to 16 years	3-16 years
1499612	3 to 16 years	3-16 years
2394504	10 to 65 years	10-65 years
2394505	10 to 65 years	10-65 years
2394507	10 to 65 years	10-65 years
2394506	10 to 65 years	10-65 years
1493359	4 - 6 weeks	4-6 weeks
1493360	4 - 6 weeks	4-6 weeks
1493361	4 - 6 weeks	4-6 weeks
1493362	4 - 6 weeks	4-6 weeks
1717874	4 to 6 weeks	4-6 weeks
1499607	17-42 years-old	17-42 years
1499608	17-42 years-old	17-42 years
1499609	17-42 years-old	17-42 years
1499610	17-42 years-old	17-42 years
1499453	3-4 weeks-old	3-4 weeks
2394497	10 to 65 years	10-65 years
1500050	4 to 45 years-old	4-45 years
1500054	7-8 weeks-old	7-8 weeks
1500064	7-8 weeks-old	7-8 weeks
1500065	7-8 weeks-old	7-8 weeks
2394508	10 to 65 years	10-65 years
2394509	10 to 65 years	10-65 years
2394498	10 to 65 years	10-65 years
2394499	10 to 65 years	10-65 years
2394500	10 to 65 years	10-65 years
2394501	10 to 65 years	10-65 years
1500033	12 to 66 years-old	12-66 years
1500034	12 to 66 years-old	12-66 years
1499915	6 weeks old	6 weeks
1499419	4-6 wks	4-6 weeks
1499421	4-6 wks	4-6 weeks
2394511	10 to 65 years	10-65 years
2394510	10 to 65 years	10-65 years
2394512	10 to 65 years	10-65 years
1499916	6 weeks old	6 weeks
1500045	4 to 45 years-old	4-45 years
1500030	12 to 66 years-old	12-66 years
1500031	12 to 66 years-old	12-66 years
1500032	12 to 66 years-old	12-66 years
1493643	8 week-old	8 weeks
1500046	4 to 45 years-old	4-45 years
1500047	4 to 45 years-old	4-45 years
1500029	12 to 66 years-old	12-66 years
1499618	3 to 16 years	3-16 years
2394475	10 to 65 years	10-65 years
1501316	6 weeks old	6 weeks
1499930	6 weeks old	6 weeks
1500684	4-6 weeks old	4-6 weeks
1500686	4-6 weeks old	4-6 weeks
2394476	10 to 65 years	10-65 years
2394492	10 to 65 years	10-65 years
2394493	10 to 65 years	10-65 years
2394494	10 to 65 years	10-65 years
1492095	8-12 weeks old	8-12 weeks
1500024	12 to 66 years-old	12-66 years
1500026	4 to 45 years-old	4-45 years
1500687	4-6 weeks old	4-6 weeks
1551201	6 to 24 months	6-24 months
2394495	10 to 65 years	10-65 years
2394496	10 to 65 years	10-65 years
1500066	7-8 weeks-old	7-8 weeks
1493647	8 week-old	8 weeks
1500685	4-6 weeks old	4-6 weeks
1502654	4-6 weeks old	4-6 weeks
1500035	12 to 66 years-old	12-66 years
1500036	12 to 66 years-old	12-66 years
1500038	4 to 45 years-old	4-45 years
1493648	8 week-old	8 weeks
1493649	8 week-old	8 weeks
1503761	5-6 weeks-old	5-6 weeks
1498183	60-90 days old	60-90 days
1499752	25-week-old	25 weeks
1499753	25-week-old	25 weeks
1499754	25-week-old	25 weeks
1500679	4-6 weeks old	4-6 weeks
1499748	25-week-old	25 weeks
1499750	25-week-old	25 weeks
1499756	25-week-old	25 weeks
1499757	25-week-old	25 weeks
1499755	25-week-old	25 weeks
1498180	60-90 days old	60-90 days
