index	unknown_word	pdb_plausible?	context	occurrences	category	replace_with	remove	invalidate	allow
297	pbd	N	'extended data figure 3, supplementary figure 7, supplementary table 2 and pbd 7rrg', 'figure 1, supplementary tables 1, 2, 3 and pbd 7yxu', 'figure 3, supplementary figure 7, supplementary table 2 and pbd 7l1b', 'figure 3, supplementary figure 7, supplementary table 2 and pbd 7l1c', 'figure 4, supplementary figure 7, supplementary table 2 and pbd 7l1d'	14					
320	fake	N	'fake'	1					
322	fgiure	N	'fgiure 4a', 'fgiure 9'	2					
323	fgiures	N	'fgiures 1, 2, 3a and table 2', 'fgiures 1, 2, 3a, and table 2', 'fgiures 1, 2, and 3a'	3					
325	fgure	N	'fgure 1', 'fgure 3', 'fgure 4', 'table s1 and fgure s31', 'table s1 and fgure s36', 'table s1 and fgure s39', 'table s1 and fgure s40'	7					
326	record	N	'fig 1 and genbank record', 'figure 2 and swiss-prot record', 'figure 5 and genbank record', 'figure 5 and swiss-prot record', 'table 1 and genbank record', 'table 2, and cited genbank record', 'table 3 and genbank record', 'figure 1 and genbank record'	7					
328	received	N	'fig 1, received from author', 'received from author.', 'figure 1, received from author'	2					
329	ref	N	'fig 1, ref 21 (pmid: 6088507)', 'swiss prot, ref 21 (pmid: 6088507)', 'text, cited ref.', 'figure 1, ref 21 (pmid: 6088507)'	3					
335	database	N	'fig 3, swiss prot database', 'figures 2, s3, s4 and database s1, s2', 'figures 2, s3, s4, s8 and database s1, s2', 'pride database id: pxd035499', 'pride database: pxd020614', 'pride database: pxd023545', 'figure 3, swiss prot database', 'figure 2, s3, s4 and database s1, s2', 'figure 2, s3, s4, s8 and database s1, s2'	6					
338	entry	N	'fig 6, pubmed entry.', 'genbank entry', 'pdb entry', 'swiss-prot entry', 'figure 6, pubmed entry.'	5					
339	pubmed	N	'fig 6, pubmed entry.', 'figure 6, pubmed entry.'	2					
349	figees	N	'figees 1, 2, 3; table 1'	1					
351	fig1	N	'fig.2a,fig1', 'pg58 fig1', 'pg58 fig1, pg59 fig2a', 'figure.2a,figure1', 'figure.2a,fig1'	4					
353	table2	N	'fig.3b, fig.4c, table2', 'figure 3 and table2', 'figure 6 and table2', 'figures 1, 2 and 4, table2', 'figures 1, 2, 3, 4, and 5, table2', 'table2 and figure 5', 'table2, figure 3', 'table2, figure 6', 'table2, s1 table', 'table2,fig 1a', 'table2,fig3b', 'table2,figure 1', 'table2,figure3', 'figure.3b, figure.4c, table2'	14					
356	figfigure	N	'figfigure'	1					
357	figire	N	'figire 1', 'figire 1, extended data figures 2 and 5', 'figire 1, extended data figure 2 and 5'	2					
359	figires	N	'figires 1, 2, 3, s2, table 1 and pdb 5jwe'	1					
360	figrue	N	'figrue 2', 'figrue 2a', 'figrue 3', 'figrue 3, tables 3 and 4', 'figrue 3b', 'figrue 4', 'figrue 7', 'table 1 and figrue 2', 'table 1 and figrue 5', 'table 1 and figrue 6', 'figrue 3, table 3 and 4'	10					
361	figrues	N	'figrues 2 and 3, table 1', 'figrues 2a and 3a', 'figrues 2a and 3b', 'figrues 4 and 5, table 2'	4					
362	figrure	N	'figrure 2'	1					
363	figue	N	'figue 1', 'figue 2', 'figue 2, supplementary figures 1 and 2 and supplementary table 1', 'figue 3', 'figures 3, 6 and supplementary figue 3', 'supplementary figue s4', 'figue 2, supplementary figure 1 and 2 and supplementary table 1', 'figure 3, 6 and supplementary figue 3'	6					
365	figuer	N	'figuer 1c', 'figuer 2', 'figuer 3', 'figure 8 and supporting information figuer s3'	4					
366	figues	N	'figues 2, s1', 'figues 5 and s5', 'figues 6 and s9', 'figues s4, s5, table s2 and pdb 6n4q', 'figures 2, 4 and supplementary figues 3 and 5', 'table 1, figues 1, 2, 3 and pdb 3rl2', 'figure 2, 4 and supplementary figues 3 and 5'	6					
369	figuire	N	'figuire 4'	1					
370	figur	N	'figur 7b', 'figur s5', 'figures 1 and 3 and figur s4', 'supplemental table 3 and figur 6', 'supplementary figur 5', 'figure 1 and 3 and figur s4'	5					
375	s1f	N	'figure s1f', 'figure 5d and s1f', 'figures 6, 7 and tables s1d, s1e, s1f', 'figure 6, 7 and table s1d, s1e, s1f', 'figure 6, 7 and tables s1d, s1e, s1f', 'figures 6, 7 and table s1d, s1e, s1f'	3					
377	an	N	'figure 1 an text p. 901', 'figures 2, s2 an table ii', 'figures 3b an 6c', 'figures 5 an 6, table ii', 'figure 5 an 6, table ii', 'figure 3b an 6c', 'figure 2, s2 an table ii', 'figure 5 an 6, table 2', 'figure 1 an text page. 901', 'figure 2, s2 an table 2', 'figures 2, s2 an table 2', 'figures 5 an 6, table 2'	4					
379	aad46493	N	'figure 1 and aad46493'	1					
380	code	N	'figure 1 and accession code provided'	1					
381	correspondance	N	'figure 1 and author correspondance'	1					
382	corresponding	N	'figure 1 and author corresponding'	1					
383	ev	N	'figure 1 and ev 1'	1					
384	supplements	N	'figure 1 and figure 1 supplements 1 and 2', 'figure 1 and figure supplements 1, 2, 3, 4, figure 4-supplement 1, supplementary file 1 and pdb 7yzk', 'figure 1, figure 1-supplements, table 1 and pdb 6ww2', 'figure 1-figure supplement 1, figure 2 and figure supplements, table 1 and pdb 7kra', 'figure 1-figure supplement 1, figure 2 and figure supplements, table 1 and pdb 7ktx'	21					
386	meyers	N	'figure 1 and meyers et al (1991) figure 5'	1					
442	v1	N	'figure 1 and pdb 6e3y (v1.2)', 'figure 1 and pdb 6mzj (v1.1)', 'figure 1, table 1 and pdb 1vgk (v1.2)', 'figure 1, extended data figure 1, extended data table 1 and pdb 6hco (v1.1)', 'figure 1, extended data figure 2, extended data table 1 and pdb 6mco (v1.2)', 'figure 1, supplementary table 2 and pdb 6dez (v1.0)'	135					
456	raw	N	'figure 1 and s1 source raw'	1					
457	supllementary	N	'figure 1 and supllementary figure s1', 'figures 6, 8, supllementary figures 1 and 2', 'figure 6, 8, supllementary figure 1 and 2'	2					
460	suppplementary	N	'figure 1 and suppplementary figure 7', 'figure 1 and suppplementary table 1', 'figure 2, supplementary figure 4, suppplementary table 1 and pdb 7n5h', 'figure 2a, 3, 7 and suppplementary figure 5a', 'figure 3 and suppplementary table 1', 'figure 7 and suppplementary figure 5', 'figures 1, 2, 4, supplementary figure 1, table 1, suppplementary table 1 and pdb 8shi'	17					
461	supplemenraty	N	'figure 1 and table 1 and supplemenraty figure 1', 'supplemenraty figure 3'	2					
463	e3	N	'figure 1 and table e3', 'figure 1, table e1, e3', 'figure 1, table e3', 'figure 2, table e3', 'figure 2d and e3', 'figure 3, e3', 'figure 3, table i, figure e3', 'figures 1, 2, e2 and e3', 'figures 4, e3, and e4', 'figures 5 and e3', 'figures 7, e3', 'figures e1, e2 and e3', 'figures e2, e3, e4', 'figures e3, e4'	16					
464	ix	N	'figure 1 and table ix', 'figure 1 and tables v, ix and text p. 1141', 'figure 1, table ix, x, xi', 'figure 1, tables, v, vi, ix and text p. 1141', 'figures 3-4, tables i, ii, iii and ix, text page 2419', 'table ii, figure 1, figure 3, table iv,table ix', 'tables ii, iii, iv, vi, vii and ix', 'tables ii, v, vi, ix and figure 1'	18					
465	to	N	'figure 1 to 9', 'figure 1, tables 1 to 3', 'figures 1 to 3', 'figures 1 to 4', 'figures 1 to 4, table 2', 'figures 1 to 4, table 3', 'f1gures 1 to 4, table 1, supplementary f1gures 2 and 3', 'figures 1 to 5', 'figures 1 to 5, supplementary figures 1 to 3, supplementary table 1', 'figures 1 to 5, table 2'	64					
466	or	N	'figure 2, s1 or table s1', 'table 1 or author provided', 'table s1 or author provided'	3					
467	tables1	N	'figure 1 and tables1, s2, and s3', 'figure 4, tables1', 'figures 2, 7, 8, tables1 and s2, and pdb 7kc9', 'supplementary figure s2 and tables1, s2, and s3', 'supplementary figure s4 and s9 and tables1, s2, and s3', 'tables1 and 2', 'tables1 and 2, figures 1 and 2', 'tables1, 2', 'tables1, 2, and 3', 'tables1, 2 and figure 1'	13					
468	caption	N	'figure 1 caption'	1					
470	legend	N	'figure 1 legend', 'figure 2 legend', 'figure 2 legend and text p.832', 'figure 3 legend', 'figure 4 legend', 'figure 4, legend', 'figure 5 legend', 'figure 6 legend', 'figure 7 legend', 'figure 8 legend', 'figure s1 legend', 'legend of figure 1', 'legend of table 2', 'legend of table i', 'results page 8 and figure 2 legend'	20					
471	structure	N	'figure 1 structure 1', 'figure 1 structure 10', 'figure 1 structure 8', 'figure 1a structure 1', 'figure 1a structure 2', 'figure 1b structure 2', 'figure 2 structure 1', 'figure 2 structure 2', 'figure 2a structure 1 / 1b', 'p 338 structure i', 'page 339 structure ii', 'peptide structure, page 222.'	23					
482	good	N	'figure 1, and good et al., proc natl acad sci 1988'	1					
483	sci	N	'figure 1, and good et al., proc natl acad sci 1988', 'neurath, et al., proc nat acad sci. 79, 7871-7875, 1982'	2					
484	natl	N	'figure 1, and good et al., proc natl acad sci 1988'	1					
485	proc	N	'figure 1, and good et al., proc natl acad sci 1988', 'neurath, et al., proc nat acad sci. 79, 7871-7875, 1982'	2					
486	acad	N	'figure 1, and good et al., proc natl acad sci 1988', 'neurath, et al., proc nat acad sci. 79, 7871-7875, 1982'	2					
487	collins	N	'figure 1, collins et al., 1990'	1					
488	datsaset	N	'figure 1, ev1 and datsaset ev1'	1					
506	histogram	N	'figure 1, extended data figures 1- 7, tables 1, 2, table si, histogram a and pdb 4utb', 'figure 1, extended data figures 1- 7, tables 1, 2, table si, histogram b and pdb 4ut6', 'figure 1, extended data figures 1- 7, tables 1, 2, table si, histogram c and pdb 4uta', 'figure 1, extended data figures 1- 7, tables 1, 2, table si, histogram d and pdb 4ut9'	4					
508	si	N	'figure 1, extended data figures 1- 7, tables 1, 2, table si, histogram a and pdb 4utb', 'figure 1, extended data figures 1- 7, tables 1, 2, table si, histogram b and pdb 4ut6', 'figure 1, extended data figures 1- 7, tables 1, 2, table si, histogram c and pdb 4uta', 'figure 1, extended data figures 1- 7, tables 1, 2, table si, histogram d and pdb 4ut9'	60					
551	inchauspe	N	'figure 1, inchauspe et al., 1991', 'figure 2, inchauspe et al., 1991'	2					
552	p123	N	'figure 1, p123-4', 'figures 1, 2, 3, 4, p123', 'figures 1, 3, 4, p123', 'figures 1, p123-4', 'figure 1, 2, 3, 4, p123', 'figure 1, 3, 4, p123'	4					
554	radford	N	'figure 1, radford et al., 1990'	1					
555	result	N	'figure 1, result and discussion', 'result and figure 3', 'result page 2042', 'result, page 471, figure 1'	4					
567	s1and	N	'figure 1, s1and table s1', 'figures 2a, s1and s2 figure 4', 'figure 2a, s1and s2 figure 4'	2					
572	s16	N	'figure 1, s3 and s16', 'figure 4 and supplementary figure s16', 'figure 4 and supplementary figures s16 and s17', 'figure 6 and s16', 'figure s4-p,table s16', 'figure s7 and s16', 'figures 1, 2, s3, s4, s6, s7, s11, s16, s19, tables s1, s2 and pdb 7uot', 'figures 1, 3, s5 and s16', 'figures 1, 4, s1, s2, s3, s8, s10, s16, s17, s18 and pdb 3j5m'	45					
573	mlx	N	'figure 1, s4, table 1 and pdb mlx'	1					
575	page397	N	'figure 4; text page397'	1					
576	s2a	N	'figure 1, suppl figure s2a', 'figure 1b, 1c, 1d, 2, 4a, 4b, s2a, s2c, s2d', 'figure 1b, 1d, 2, 4b, s2a, s2c, s2d', 'figure 3 and table s2a', 'figure 3b and s2a', 'figures 1, 4, tables 2, s2a, s2b, s2c, s2d, s2e, s2f', 'figures 2, 3a, 3c, s2a, and table s2', 'figures 2, 3a, s2a, and table s2', 'supplemental figure s2a'	14					
589	note	N	'figure 1, supplementary figure 1, supplementary note 1, table 1 and pdb 6jmq', 'figure 4, supplementary figure 1, table 1, supplementary note 2 and pdb 6jmr', 'figure 4, table 1, supplementary note 2 and pdb 6jmr', 'figure 6 and note added in proof', 'figures 1, 2, table 1, supplementary note 1 and pdb 6mam'	7					
707	supp	N	'figure 1, table 1 and supp. figure 2', 'figures 1 and 2, supp. figures 8, 12 and 16, supplementary tables 2, 3, 5, 8 and 9', 'supp. fig. 1', 'table 1, figures 2, 3, supp figures 4, 5, 6', 'figure 1 and 2, supp. figure 8, 12 and 16, supplementary table 2, 3, 5, 8 and 9', 'supp. figure. 1', 'table 1, figure 2, 3, supp figure 4, 5, 6'	4					
710	ev2	N	'figure 1, table 2 and figure ev2', 'figure ev2 and appendix figure s4', 'figures 1, 2, 5, 6, ev2, ev3 and appendix figure s1', 'figures 3, ev2, s1, table s2 and pdb 7p77', 'figures 3, ev2, s1, table s2 and pdb 7p78', 'figure 1, 2, 5, 6, ev2, ev3 and appendix figure s1', 'figure 3, ev2, s1, table s2 and pdb 7p77'	6					
718	e1	N	'figure 1, table e1, e3', 'figure 1, tables 1, e1 and e2', 'figure 1, tables i, ii, e1 and e2', 'figure 1, tables ii, e1 and e2', 'figure 3, table e1', 'figure 4 and table e1', 'figure 4, table e1', 'figure 5, tables e1 and e2', 'figure e1', 'figure e1, table e2', 'figure e2 and table e1', 'figures 1 and e1, table e2'	37					
725	xi	N	'figure 1, table ix, x, xi', 'tables i, ii, iii, vi and xi', 'tables iii, iv, vi and xi', 'tables vii, xi', 'tables 1, 11, 111, v1 and x1', 'tables 7, xi', 'table i, ii, 3, vi and xi', 'table 3, iv, vi and xi', 'table 7, xi', 'table 1, 2, 21, 6 and x1', 'table iii, iv, 6 and xi', 'table 1, 2, 3, v1 and x1'	4					
791	figs	N	'figure 1, table s4, figs. s10, s11', 'figure 1e, 2, 3 and extended data figs. 2d and 7', 'figure 1f and extended data figs. 2e, 4a', 'figure 5, table 1, supplementary figs. 34-38 and supplementary table 5', 'figures 1, 2, 4, 5, 6 and supplemental figs. 1, 2, 3, 4', 'figures 1a,b,c, 2, 3a,b, e, supplementary figs. 2 and 4'	16					
795	e2	N	'figure 1, tables 1 and e2', 'figure 1, tables 1, e1 and e2', 'figure 1, tables 2a, 2b, 4, supplementary figure s1 and table e2', 'figure 1, tables i, ii, e1 and e2', 'figure 1, tables ii, e1 and e2', 'figure 5 and table e2', 'figure 5, tables e1 and e2', 'figure e1, table e2', 'figure e2', 'figure e2 and table e1'	27					
810	s1a	N	'figure 1, tables s1a, s1b and pdb 5grj', 'figure 1c, 1e, 4c, s1a and table 1', 'figure 1c, 1e, s1a and table 1', 'figure 1c, 1e,4d, s1a and table 1', 'figure 2 and s1a', 'figure s1a', 'figures 1 and 2, suppl figures s1a, s2', 'figures 1, 2, 3, s1, tables 2, s1a, s1b and pdb 3uyp', 'figures 1, 2, 3, s1, tables 2, s1a, s1b and pdb 3uze'	21					
811	s1b	N	'figure 1, tables s1a, s1b and pdb 5grj', 'figure 1d, s1b and table 1', 'figure 2 and supplementary figure s1b', 'figure 2, 5, s1b', 'figures 1, 2, 3, s1, tables 2, s1a, s1b and pdb 3uyp', 'figures 1, 2, 3, s1, tables 2, s1a, s1b and pdb 3uze', 'figures 1, 2, 3, s1, tables 2, s1a, s1b and pdb 3uzq', 'figures 1, 2, 3, s1, tables 2, s1a, s1b and pdb 3uzv'	23					
815	sii	N	'figure 1, tables si, sii', 'figure 3, tables si, sii', 'figure s1 and supplementary table sii', 'figures 1, 2, tables si, sii', 'figures 2, 3, s1, tables i, si, sii and pdb 3j3o', 'figures 2, 3, s1, tables i, si, sii and pdb 3j3p', 'figures 5, s1 and table sii', 'figures 6, s3, table sii and pdb 3e6f'	14					
816	siii	N	'figure 1, tables si, siii', 'figure 5, tables si, siii', 'figures 1, 2, 4, tables si, siii', 'supplementary table siii', 'table si and siii and figures 3, 4, and 6', 'table sii, table siii', 'table siii and figure 4', 'tables 1, si, and siii', 'tables 1, si, and siii and figures 3 and 4', 'tables 1, si, and siii and figures 3, 4, and 6'	14					
817	viii	N	'figure 1, tables v and viii', 'table vi, vii, viii', 'table viii', 'table viii and figure 2', 'tables i, iiii and viii', 'tables i, v, vi, viii', 'tables ia, ii, iii, iv, v, and viii', 'tables ii and viii', 'tables i-v, vii-viii, figures 1, 2, 4, 5, and 6', 'tables v, vii and viii', 'tables v, vii, and viii'	20					
818	tablesi	N	'figure 1, tablesi, ii, iii', 'figure 1, tablesi, ii, 3', 'figure 1, tablesi, 2, 3', 'figure 1, tablesi, 2, 2i'	1					
819	p7403	N	'figure 1, text p7403'	1					
820	pp	N	'figure 1, text pp. 192-193', 'figure 1, text pp. 7-8', 'figure 2, text pp. 5-6', 'figure 3, text pp. 606 and 608', 'figures 2, 3, 4, 7 and text pp. 423-424', 'figures 3, 4, 6 and text pp. 423-424', 'text pp 614-615, figure 2', 'text pp. 103-104', 'text pp. 135-136', 'text pp. 2044, 2046, and figure 5a'	17					
821	yamaguchi	N	'figure 1, yamaguchi et al., 1988'	1					
823	milich	N	'figure 1. milich et al. 1986. j. immunol. 137:2703-2710.', 'milich et al (1988)', 'milich et al j exp med 1986. 164: 532', 'milich et al, j exp med 1986 164:532', 'milich et al, jexp med1986, 164:532'	5					
824	sun	N	'figure 1. sun et al. 1991. infect. immun. 59(1):114-118.'	1					
825	1/results	N	'figure 1/results'	1					
827	10a	N	'figure 10a', 'figure 10a,b', 'figures 10a, 10c and 10e', 'figures 2a, 4, 10a and table 1', 'figure 10a, 10c and 10e', 'figure 2a, 4, 10a and table 1'	4					
828	10b	N	'figure 10b', 'figure 10b,c', 'figures 10b, 10d and 10f', 'figures 2, 6, and 10b,c,d', 'figure 10b, 10d and 10f', 'figure 2, 6, and 10b,c,d'	4					
829	10e	N	'figure 10c and 10e', 'figures 10a, 10c and 10e', 'figures 10e and 10f', 'figures 3c, 6f, supplementary figures 10e, 11c, 15e, and 17b', 'figures 5 and 10e', 'figure 10a, 10c and 10e', 'figure 3c, 6f, supplementary figure 10e, 11c, 15e, and 17b', 'figure 5 and 10e', 'figure 10e and 10f'	5					
830	10c	N	'figure 10c and 10e', 'figure 10c and e', 'figures 10a, 10c and 10e', 'figure 10a, 10c and 10e'	3					
831	10d	N	'figure 10d', 'figures 10b, 10d and 10f', 'figure 10b, 10d and 10f'	2					
832	supplemantal	N	'figure 11 and supplemantal figure s7', 'figure 6 and supplemantal figure s3', 'figures 1, 2, 4, 5, 7, 8, 9, and 10 and supplemantal figures s2, s4, and s6', 'supplemantal table 1', 'table 2 and supplemantal table 1', 'figure 1, 2, 4, 5, 7, 8, 9, and 10 and supplemantal figure s2, s4, and s6'	5					
833	11a	N	'figure 11a', 'figure 11a and b, table 1', 'supplementary dataset 11a'	3					
834	11b	N	'figure 11b', 'figure 4f,g and supplemental fig. 11b', 'supplementary dataset 11b', 'supplementary dataset 11b and extended data figure 9', 'figureure 4f,g and supplemental figure. 11b', 'figure 4f,g and supplemental figure. 11b'	4					
835	11c	N	'figure 11c, table 1', 'figures 3c, 6f, supplementary figures 10e, 11c, 15e, and 17b', 'supplementary dataset 11c', 'figure 3c, 6f, supplementary figure 10e, 11c, 15e, and 17b'	3					
836	11d	N	'figure 11d, table 1', 'supplementary dataset 11d', 'supplementary dataset 11d and extended data figure 9', 'supplementary dataset 11d, 11e'	4					
837	12a	N	'figure 12a and b, table 1', 'figure 12a b, table 1'	2					
838	12c	N	'figure 12c, table 1'	1					
839	12d	N	'figure 12d, table 1'	1					
840	cdc	N	'figure 1a - cdc atlanta aotus'	1					
841	aotus	N	'figure 1a - cdc atlanta aotus', 'figure 1a - leticia aotus'	2					
842	atlanta	N	'figure 1a - cdc atlanta aotus'	1					
843	leticia	N	'figure 1a - leticia aotus'	1					
844	resource	N	'figure 1a and online resource 1', 'figure 2, online resource 3', 'figure 2c, online resource 3', 'figure 5 and online resource 4', 'figures 1, 2, 5, and online resource 4', 'figures 1b, 2a, online resource 1', 'figures 1c, 2b, online resource 2', 'key resource table', 'online resource 19', 'table 2 and online resource 19'	15					
845	online	N	'figure 1a and online resource 1', 'figure 2, online resource 3', 'figure 2c, online resource 3', 'figure 3 and supplementary online figure s3', 'figure 5 and online resource 4', 'figures 1, 2, 5, and online resource 4', 'figures 1b, 2a, online resource 1', 'figures 1c, 2b, online resource 2', 'online methods'	29					
849	2ab	N	'figure 1a, e, f, g, h, j, k, s1, s4, s5, 2ab, 3a'	1					
851	s3a	N	'figure 1a,b, 2, 4, 6, supplementary figure s3a,b', 'figure 1a,b, supplementary figure s3a,b', 'figure 2, table s3a', 'figure s3, table s3a and pdb 7zfc', 'figures 1, 4, tables 2, s3a, s3b, s3c, s3d, s3e, s3f', 'figures 5, 6, s3, s4, table s3a and pdb 7zfd', 'figures 5, 6, s3, table s3a and pdb 7zf4'	27					
852	s2b	N	'figure 1a,b,c, figure s2b', 'figure 2, suppl figure s2b', 'figure s2b, s2d', 'figures 1 and s2b', 'figures 1, 3, 5 and s2b', 'figures 1, 4, tables 2, s2a, s2b, s2c, s2d, s2e, s2f', 'figures 1,3, 5 and s2b', 'figures 2, 3b, 4a, s2b and table s2', 'figures 2, 4a, s2b and table s2', 'figures s1h, s1j, s1k, s1l, 1h, 1i, 1j, 1k, s2b, 3c, and 3d'	14					
853	a1	N	'figure 1-a1', 'figure 5-a1', 'table a1', 'tables a1 and 2', 'table a1 and 2'	4					
857	s2d	N	'figure 1b, 1c, 1d, 2, 4a, 4b, s2a, s2c, s2d', 'figure 1b, 1d, 2, 4b, s2a, s2c, s2d', 'figure 1b, 2, 4b, s2c, s2d', 'figure 1b, 2, 4b, s2c, s2d, s3b', 'figure s2b, s2d', 'figures 1, 4, tables 2, s2a, s2b, s2c, s2d, s2e, s2f', 'figures 1, s2d, tables s1, s2, s3, s4 and pdb 3lev', 'figures 1j, 2a, 2b, 2c, s2d, s2e, s2f, s2g, s2h, s2i, s2j, 3e, and s3d'	9					
858	s2c	N	'figure 1b, 1c, 1d, 2, 4a, 4b, s2a, s2c, s2d', 'figure 1b, 1d, 2, 4b, s2a, s2c, s2d', 'figure 1b, 2, 4b, s2c, s2d', 'figure 1b, 2, 4b, s2c, s2d, s3b', 'figure 2d, e and figure s2c', 'figure 2d, e and figure s2c, d', 'figure s2c, s2e', 'figures 1, 4, tables 2, s2a, s2b, s2c, s2d, s2e, s2f', 'figures 1h and s2c'	12					
859	s3b	N	'figure 1b, 2, 4b, s2c, s2d, s3b', 'figure 5, 6, s3, s4, table s3b and pdb 7zr9', 'figure s3b', 'figures 1, 4, tables 2, s3a, s3b, s3c, s3d, s3e, s3f', 'figures 1c and s3b', 'figures 2b, c and s3b', 'figures 4, 5, s3b-d, s4', 'figures 5, 5, 7, s3, s4, table s3b and pdb 7zrc', 'figures 5, 6, 7, s3, table s3b and pdb 7zr8'	14					
867	suplement	N	'figure 1-figure suplement 1'	1					
878	supplementarytable	N	'figure 2 , supplementary figure s6, s18 and supplementarytable s1', 'figure 2 , supplementary figures s5, s6 and supplementarytable s1', 'figure 2, supplementary figure 3 and supplementarytable 2', 'figure 2 , supplementary figure s5, s6 and supplementarytable s1'	3					
879	s18	N	'figure 2 , supplementary figure s6, s18 and supplementarytable s1', 'figure 8 and s18', 'figure s17 and s18', 'figure s18', 'figure s18 and table s4', 'figures 1, 4, s1, s2, s3, s8, s10, s16, s17, s18 and pdb 3j5m', 'figures 2 , s7 and s18', 'figures 2, 3, 4, s8, s15, s18, s21 and table s4', 'figures 2, 3, s2, tables s16, s17, s18, s19 and pdb 5u3k'	28					
881	amd	N	'figure 2 amd table 1', 'figures 1 amd 2', 'figures 2 amd 4', 'figures 5 amd 6', 'figures 8 amd 9, table 5', 'pdb 7p77, 7p78 amd 7p79', 'table amd figure 1', 'tables s1 amd s3a', 'figure 1 amd 2', 'figure 2 amd 4', 'figure 5 amd 6', 'figure 8 amd 9, table 5', 'table s1 amd s3a'	8					
883	datasets	N	'figure 2 and datasets s3 and s4', 'tables 1, 2, figures 1, s1, s2, datasets s2, s5, s6', 'tables 1, 2, figure 1, s1, s2, datasets s2, s5, s6', 'table 1, 2, figure 1, s1, s2, datasets s2, s5, s6', 'table 1, 2, figures 1, s1, s2, datasets s2, s5, s6'	2					
928	s13	N	'figure 2 and s13', 'figure 2, table s13', 'figure 3 and s13', 'figure 4, table s7, figures s13, s14 and pdb 5m63', 'figure 5 and s13', 'figure 6, supplementary figures s2, s3, s4, s5, s11, s13, s14, s15', 'figure s13', 'figure s13 and table s7', 'figure s13, table s2 and pdb 8cyj', 'figure s4-p,table s13'	110					
929	suplemental	N	'figure 2 and suplemental data 7', 'figures 4, 5 and suplemental figure 3', 'suplemental table 1', 'suplemental table s2', 'suplemental table s2, figure 3', 'figure 4, 5 and suplemental figure 3'	5					
930	supplementalary	N	'figure 2 and supplementalary figure 1'	1					
931	s1c	N	'figure 2 and supplementary figure s1c', 'figure s1c and table 1', 'figures s1c, 1a, 1b, 2a, 2b, 2c, s2d, s2e, s2f, s2g, s2h, s2i, 3e, s3d, 6a, 6b, and 6c', 's1b fig, s1c fig, fig 4', 'supplementary figure s1c and figure 2', 'supplementary table s1c', 's1b figure, s1c figure, figure 4', 'figure s1c, 1a, 1b, 2a, 2b, 2c, s2d, s2e, s2f, s2g, s2h, s2i, 3e, s3d, 6a, 6b, and 6c'	8					
932	supplmenetary	N	'figure 2 and supplmenetary data figure s2'	1					
933	taable	N	'figure 2 and taable s1'	1					
934	supplental	N	'figure 2 and table 6 and supplental table 2', 'figure 3 and table 6 and supplental table 2', 'figure 4 and table 6 and supplental table 2', 'supplental figure 1'	5					
935	ans	N	'figure 2 ans table s3', 'figure 4 ans s5', 'figures 2 ans s1', 'figures 5 ans s4', 'figures 6 ans s4', 'supplemental data s1 ans s5', 'figure 2 ans s1', 'figure 5 ans s4', 'figure 6 ans s4'	6					
940	suuplemental	N	'figure 2, 3, 4 and suuplemental data 5', 'figure 5 and suuplemental figure 1', 'suuplemental figure s4'	3					
996	previous	N	'figure 2, previous reference', 'figure 4, previous references', 'previous author publication', 'previous publication, pdb 2osl', 'previous reference.', 'text, previous reference'	8					
998	s3d	N	'figure 2, s1, s2, table s3d and pdb 6utk', 'figure 2, table s3d and pdb 6utk', 'figure s3d', 'figures 1, 4, tables 2, s3a, s3b, s3c, s3d, s3e, s3f', 'figures 1j, 2a, 2b, 2c, s2d, s2e, s2f, s2g, s2h, s2i, s2j, 3e, and s3d', 'figures s1c, 1a, 1b, 2a, 2b, 2c, s2d, s2e, s2f, s2g, s2h, s2i, 3e, s3d, 6a, 6b, and 6c'	7					
1010	s14	N	'figure 2, s4, s14 and table s1', 'figure 4, table s7, figures s13, s14 and pdb 5m63', 'figure 5 and s14', 'figure 6, supplementary figures s2, s3, s4, s5, s11, s13, s14, s15', 'figure s14', 'figure s14, table s2 and pdb 7si2', 'figure s4-p,table s14', 'figures 1, 3 and s14', 'figures 1, 4, 5, s1, s13, s14, s15, s21 and s23'	46					
1018	sup	N	'figure 2, sup figures iv, v', 'figure 2, sup figure i5, 5', 'figure 2, sup figure iv, v', 'figure 2, sup figure 4, 5', 'figure 2, sup figure iv, 5'	1					
1019	supl	N	'figure 2, supl fig 2', 'figure 2, supl fig 6', 'figure 3, supl fig 1', 'supl fig 3', 'supl table 1', 'figureure 2, supl figure 2', 'figureure 2, supl figure 6', 'figureure 3, supl figure 1', 'supl figure 3', 'figure 2, supl figure 2', 'figure 2, supl figure 6', 'figure 3, supl figure 1'	6					
1113	cs	N	'figure 2, supplementary table 1, cs supplemental table 1 and pdb 6cyf'	1					
1183	v2	N	'figure 2, table s1 and pdb 5vcj (v2.0)'	1					
1201	s12	N	'figure 2, table s12', 'figure 2,tables s2, s12', 'figure 3, s9, s10, s11, s12, table s6, s7, and pdb 4fqi', 'figure 4 and tables s7, s8, and s12', 'figure 4, table s12', 'figure 5 and s12', 'figure 6 and s12', 'figure 8d and s12 fig.', 'figure s12', 'figure s12 and pdb 7wd9, 7wdf, and 7wd8', 'figure s2 and s12'	132					
